#,Score,Horizontal,Vertical,ID,Series,Sort,Target,Figure,TargetID,ShotNr,X,Y,T,A,B,C,D,TimeStamp,TimeSince,HWCount,TurnCount,Band,Sensor,Flag0,Flag1,A2,B2,C2,D2
33,10.2,2.49,-5.82,33,2,0,1,0,4,8228,1066141334.0,-1071401523.0,16,22,23,22,23,1573502,1573400,46,1,15,65,18,8,0,0,0,0
34,10.4,-3.10,2.56,34,2,0,1,0,4,8229,-1079062986.0,1066395121.0,16,23,23,24,23,1577837,1577800,47,1,15,65,18,8,0,0,0,0
35,10.9,-0.14,-0.72,35,2,0,1,0,4,8230,-1116259202.0,-1096663088.0,16,23,23,23,23,1582352,1582300,32,1,15,65,18,8,0,0,0,0
36,9.9,-1.29,8.45,36,2,0,1,0,4,8231,-1089415588.0,1080957842.0,16,23,23,24,23,1587232,1587200,33,1,15,65,18,8,0,0,0,0
37,10.1,5.97,3.60,37,2,0,1,0,4,8232,1076366812.0,1070255218.0,16,23,23,23,24,1590935,1590900,34,1,15,65,18,8,0,0,0,0
38,10.7,-0.36,1.90,38,2,0,1,0,4,8233,-1105051816.0,1062627086.0,16,23,23,23,23,1594884,1594800,36,1,15,65,18,8,0,0,0,0
39,10.6,0.63,-2.52,39,2,0,1,0,4,8234,1049554542.0,-1081214879.0,16,23,23,23,23,1598480,1598400,37,1,15,65,18,8,0,0,0,0
40,10.3,1.11,4.82,40,2,0,1,0,4,8235,1056642462.0,1074246362.0,16,24,23,24,23,1602829,1602800,38,1,15,65,18,8,0,0,0,0
41,10.4,2.23,-3.77,41,2,0,1,0,4,8236,1065031648.0,-1076594317.0,16,22,23,22,23,1606920,1606900,39,1,15,65,18,8,0,0,0,0
42,10.7,-0.02,-2.35,42,2,0,1,0,4,8237,-1141425106.0,-1081847824.0,16,23,23,23,23,1611749,1611700,40,1,15,65,18,8,0,0,0,0
43,10.2,3.21,4.68,43,2,0,1,0,4,8238,1068799939.0,1073992929.0,16,23,23,24,23,1615843,1615800,41,1,15,65,18,8,0,0,0,0
44,9.7,0.72,9.67,44,2,0,1,0,4,8239,1050817817.0,1082668369.0,16,23,24,24,24,1619650,1619600,42,1,15,65,18,8,0,0,0,0
45,9.7,4.30,9.24,45,2,0,1,0,4,8240,1072848115.0,1082272073.0,16,23,23,23,24,1622318,1622300,43,1,15,65,18,8,0,0,0,0
46,10.3,-1.37,-5.39,46,2,0,1,0,4,8241,-1088781046.0,-1072192220.0,16,21,23,23,23,1690599,847,44,1,15,65,18,8,0,0,0,0
47,9.4,-3.36,11.56,47,2,0,1,0,4,8242,-1078117203.0,1084410800.0,16,23,24,24,23,1699881,847,45,1,15,65,18,8,0,0,0,0
48,10.7,-1.32,1.83,48,2,0,1,0,4,8243,-1089160110.0,1062121402.0,16,21,23,22,23,1704205,847,46,1,15,65,18,8,0,0,0,0
